ResourceID,person,start_date,end_date,relation_type,notes
0571af67-97c4-4ad1-83ac-25268525f0a7,18ea6fa5-5594-4cbd-a724-ea0ace57a4a6,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
14c7bd1e-bafa-4846-a942-8db33186e983,fe24bc05-49ff-40ab-9ffa-d2ccb9a0f632,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
152a4a0b-1ba4-49e2-a6ca-77a7a7a45656,18ea6fa5-5594-4cbd-a724-ea0ace57a4a6,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
2b98cfce-c988-4bf2-87d7-2eaa1fe8f0a5,525ae553-5816-42fb-846c-fd994b590568,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
2f0a57aa-8102-46eb-b999-133044a80637,7fb08c6c-2361-4302-823a-be69eecdfa08,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
33eace10-fd96-4029-b71a-dfdd72e0dc31,18ea6fa5-5594-4cbd-a724-ea0ace57a4a6,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
379308ee-21df-40f6-8871-f4da8793166e,66d68d63-af17-483f-8f3c-51c11850aaa1,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
398a6b7a-db2b-40ad-92dc-3619df64255c,af4a6fd8-557c-4cdd-b5b0-6d859b3d6878,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
398a6b7a-db2b-40ad-92dc-3619df64255c,e6094968-29d6-4309-89d8-a51e57ac3609,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,engineer
450fb5fb-d7e6-47f7-b3c1-4926817d22d2,66d68d63-af17-483f-8f3c-51c11850aaa1,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
45717e6d-bc93-45f5-a06d-b6715e7aa20d,525ae553-5816-42fb-846c-fd994b590568,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,possible relationship
556b940f-7334-45cf-b37f-328a03dae659,01b2509b-3d8d-4afe-ab5b-690a0e5bc7a7,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
572bf6f4-50e8-4508-8452-09383c7b12d1,441d7657-44bc-4f94-b25a-785483fe2750,,,b6de2c03-141f-4ce0-a7a4-c5ab3239c652,
572bf6f4-50e8-4508-8452-09383c7b12d1,585b76cc-a139-4311-a13d-0b977eea4257,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
591d9c92-055d-4c5d-ab8d-30621aa271ec,18ea6fa5-5594-4cbd-a724-ea0ace57a4a6,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
5f155117-90e7-4f58-b63f-84631d8a1a77,18ea6fa5-5594-4cbd-a724-ea0ace57a4a6,,,ec77fb2a-9b9b-43e6-b6a3-35074ae13d9a,
60c6d5b2-a8c0-49e4-a70e-644a1e3fa69c,8f3f4bdd-b61d-4e90-b6a7-9afac012972b,,,925af21b-c397-4746-a7b0-494eeede164a,iron monger
60c6d5b2-a8c0-49e4-a70e-644a1e3fa69c,e135644b-e556-40d9-b1d8-080b3a53245e,,,b6de2c03-141f-4ce0-a7a4-c5ab3239c652,mason
63d34040-fde5-4f35-a8ef-7b42e2e14911,2245685f-0da3-43d2-891a-93f39adeaa5c,,,925af21b-c397-4746-a7b0-494eeede164a,sculptor
