v3_node,v4_node
ACTION_AGENT.E82,Agent
ACTION_AGENT_REQUEST_DATE.E49,Agent Request Date
ACTION_AGENT_TYPE.E55,Action Agent Type
ACTIVITY_A_MILESTONE.E55,Milestone Type
ACTIVITY_CONSULTANT_TYPE.E55,Consultation Notes
ACTIVITY_ENTITIES_NOTE.E62,Entity Notes
ACTIVITY_MILESTONE_DATE.E49,Milestone Date
ACTIVITY_MILESTONE_NOTES.E62,Milestone Notes
ACTIVITY_NAME.E41,Management Activity Name
ACTIVITY_NCPC_CONTACT_NAME.E82,NCPC/CFA Project Name
ACTIVITY_PROCEDURE_NOTE.E62,Procedure Description
ACTIVITY_PROCEDURE_TYPE.E55,Procedure Type
ACTIVITY_REVIEW_NOTE.E62,Review Notes
ACTIVITY_REVIEW_TYPE.E55,Review Type
ACTIVITY_SCOPE_OF_WORK_DESCRIPTION.E62,Scope of Work Description
ACTIVITY_SCOPE_OF_WORK_TYPE.E55,Scope of Work
AFRH_ARPA_DETERMINATION.E55,ARPA Determination Type
AFRH_ARPA_DETERMINATION_NOTE.E62,ARPA Determination Notes
ARPA_DCSHPO_REPORT_NUMBER.E42,ARPA Documentation Report Number
ARPA_DISCOVERY_ARTIFACT_STATUS.E55,ARPA Discovery Artifact Status
ARPA_DISCOVERY_DATE.E49,ARPA Discovery Date
ARPA_DISCOVERY_DCSHPO_NOTIFICATION_DATE.E49,ARPA Discovery Notification Date
ARPA_DISCOVERY_DOCUMENTATION_DATE.E49,ARPA Discovery Documentation Date
ARPA_DISCOVERY_NOTES.E62,ARPA Discovery Notes
ARPA_DOCUMENTATION_DATE.E49,ARPA Documentation Date
ARPA_DOCUMENTATION_NOTES.E62,ARPA Documentation Notes
ARPA_DOCUMENTATION_RESPONSE_DATE.E49,ARPA Documentation Response Date
ARPA_DOCUMENTATION_STATUS.E55,ARPA Documentation Status
ARPA_DOCUMENTATION_SUBMISSION_DATE.E49,ARPA Documentation Submission Date
ARPA_DOCUMENTATION_SUBMISSION_METHOD.E55,ARPA Documentation Submission Method
ARPA_DOCUMENTATION_TYPE.E55,ARPA Documentation Type
ARPA_FIELD_INVESTIGATION_ARTIFACTS_FOUND.E62,ARPA Artifacts Discovered
ARPA_FIELD_INVESTIGATION_ARTIFACT_STATUS.E55,ARPA Artifact Status
ARPA_FIELD_INVESTIGATION_DESCRIPTION.E62,ARPA Field Investigation Description
ARPA_FIELD_INVESTIGATION_END_DATE.E49,ARPA Field Investigation End Date
ARPA_FIELD_INVESTIGATION_START_DATE.E49,ARPA  Field Investigation Start Date
ARPA_FIELD_INVESTIGATION_TYPE.E55,ARPA  Field Investigation Type
BUILDING_STRUCTURES_RECOMMENDATION_TYPE.E55,Building Structure Recommendations
CFA_FILE_NUMBER.E42,NCPC/CFA Project Number
CFA_PROJECT_NAME.E41,NCPC/CFA Project Name
CFA_SUBMISSION_CONDITIONS.E62,NCPC/CFA Conditions
CFA_SUBMISSION_DATE.E49,NCPC/CFA Submission Time Span Begin
CFA_SUBMISSION_DECISION.E55,NCPC/CFA Submission Decision
CFA_SUBMISSION_NOTES.E62,NCPC/CFA Submission/Review Notes
CFA_SUBMISSION_REVIEW_DATE.E49,NCPC/CFA Review Time Span Begin
CFA_SUBMISSION_REVIEW_TYPE.E55,NCPC/CFA Review Type
CFA_SUBMISSION_TYPE.E55,NCPC/CFA Submission Type
CONSULTATION_DATE.E49,Consultation Date
CONSULTATION_DOCUMENTATION_TYPE.E55,Consultation Documentation Type
CONSULTATION_METHOD.E55,Consultation Method
CONSULTATION_NOTE.E62,Consultation Notes
CONSULTATION_TYPE.E55,Consultation Type
CURRENT_ACTION_STATUS.E55,Current Status
CURRENT_ACTION_STATUS_NOTES.E62,Current Status Description
FPO_CRM_CONFIRMATION_DATE.E49,FPO/CRM Confirmation Date
GROUND_DISTURBANCE.E62,ARPA Ground Disturbance Type
GROUND_DISTURBANCE_LOCATION.E27,ARPA Ground Disturbance Location
NCPC_SUBMISSION_CONDITIONS.E62,NCPC/CFA Conditions
NCPC_SUBMISSION_DATE.E49,NCPC/CFA Submission Time Span Begin
NCPC_SUBMISSION_DECISION.E55,NCPC/CFA Submission Decision
NCPC_SUBMISSION_NOTES.E62,NCPC/CFA Submission/Review Notes
NCPC_SUBMISSION_REVIEW_DATE.E49,NCPC/CFA Review Time Span Begin
NCPC_SUBMISSION_REVIEW_TYPE.E55,NCPC/CFA Review Type
NCPC_SUBMISSION_TYPE.E55,NCPC/CFA Submission Type
NEPA_DOCUMENTATION.E31,NEPA Documentation
NEPA_DOCUMENTATION_DATE.E49,NEPA Documentation Date
NEPA_DOCUMENTATION_TYPE.E55,NEPA Documentation Type
NEPA_DOCUMENTATION_TYPE_NOTE.E62,NEPA Documentation Type Notes
SECTION_106_AGREEMENT_EXECUTION_DATE.E49,Section 106 Agreement Date
SECTION_106_AGREEMENT_NOTES.E62,Section 106 Agreement Notes
SECTION_106_AGREEMENT_TYPE.E55,Section 106 Agreement Type
SECTION_106_DISPUTE_RESOLUTION_NOTES.E62,Section 106 Dispute Resolution
SECTION_106_EXEMPTION_JUSTIFICATION.E62,Section 106 Justification
SECTION_106_NOTIFICATION_DATE.E49,Section 106 Notification Date
SECTION_106_NOTIFICATION_METHOD.E55,Section 106 Notification Method
SECTION_106_NOTIFICATION_NOTES.E62,Section 106 Notification Notes
SECTION_106_NOTIFICATION_TYPE.E55,Section 106 Notification Type
SPATIAL_COORDINATES_GEOMETRY.E47,Spatial Coordinates
WORK_ORDER_DATE.E49,Work Order Date
WORK_ORDER_NOTE.E62,Work Order Notes
WORK_ORDER_NUMBER.E42,Work Order Number
