v3_node,v4_node
ARCHAEOLOGICAL_ZONE_BOUNDARY_GEOMETRY.E47,Spatial Coordinates
ARCHAEOLOGICAL_ZONE_BOUNDARY_NOTE.E62,Spatial Location Notes
ARCHAEOLOGICAL_ZONE_NAME.E48,Identification
AREA_OF_PROBABILITY_GEOMETRY.E47,Area of Probability Geometry
DESCRIPTION.E62,Description
DISTURBED_AREA_NOTE.E62,Area of Probability Notes
HISTORIC_RESOURCES_AREA_NOTE.E62,Area of Probability Notes
NATIVE_AMERICAN_RESOURCES_AREA_NOTE.E62,Area of Probability Notes
PALEOSOLS_ZONE_NOTE.E62,Area of Probability Notes
NAME.E41,Identification
