v3_node,v4_node
ADMINISTRATIVE_DATE.E49,Administrative Time Span Begin
ADMINISTRATIVE_DATE_TYPE.E55,Administrative Time Span Type
AREA_OF_SIGNIFICANCE.E55,Area of Significance
DESCRIPTION.E62,Description
HISTORIC_AREA_DESCRIPTION_TYPE.E55,Description Type
HISTORIC_AREA_DESIGNATION.E55,Designation Type
HISTORIC_AREA_LOCATION_NOTE.E62,Spatial Location Notes
HISTORIC_AREA_NAME.E48,Historic Area Name
HISTORIC_AREA_STATUS.E55,Status
NUMBER_OF_CONTRIBUTING_RESOURCES.E62,Contributing Resources
NUMBER_OF_NON_CONTRIBUTING_RESOURCES.E62,Non-Contributing Resources
PERIOD_OF_SIGNIFICANCE_BEGINNING_DATE.E49,Period of Significance Time Span Begin
PERIOD_OF_SIGNIFICANCE_END_DATE.E49,Period of Significance Time Span End
SPATIAL_COORDINATES_GEOMETRY.E47,Spatial Coordinates
