v3_node,v4_node
DESCRIPTION.E62,Description
GUIDELINE_IMAGE_FILE_PATH.E62,Guideline Image
GUIDELINE_IMAGE_NOTE.E62,Guideline Image Note
GUIDELINE_NOTE.E62,Guideline Note
GUIDELINE_TYPE.E55,Guideline Type
MASTER_PLAN_ZONE_ACTIVITY_DATE.E49,Activity Time Span Begin
MASTER_PLAN_ZONE_ACTIVITY_NOTE.E62,Activity Time Span Note
MASTER_PLAN_ZONE_ACTIVITY_TYPE.E55,Activity Type
NAME.E48,Master Plan Name
PLACE_DESCRIPTION.E62,Spatial Location Notes
PLANNED_USE.E55,Planned Use
SPATIAL_COORDINATES_GEOMETRY.E47,Spatial Coordinates
ZONE_DESCRIPTION_TYPE.E55,Description Type
ZONE_TYPE.E55,Zone Type
